# Reproduced 2026-08-01 with Python 3.12.4, PySAT 1.9.dev7, cadical195.
# Timings are machine-dependent; iteration counts reproduced exactly.
cycle_type	status	cegar_iterations	seconds
8	UNSAT	1711	0.844
1+7	UNSAT	2890	2.062
2+6	UNSAT	2808	3.360
1+1+6	UNSAT	2754	3.250
3+5	UNSAT	2279	1.437
1+2+5	UNSAT	2967	2.078
1+1+1+5	UNSAT	2451	1.719
4+4	UNSAT	2058	1.063
1+3+4	UNSAT	2777	1.765
2+2+4	UNSAT	2601	1.578
1+1+2+4	UNSAT	3110	2.204
1+1+1+1+4	UNSAT	2952	2.468
2+3+3	UNSAT	2533	2.422
1+1+3+3	UNSAT	2692	1.890
1+2+2+3	UNSAT	3398	2.188
1+1+1+2+3	UNSAT	2570	1.812
1+1+1+1+1+3	UNSAT	3191	2.516
2+2+2+2	UNSAT	3123	2.578
1+1+2+2+2	UNSAT	4592	4.031
1+1+1+1+2+2	UNSAT	5980	6.282
1+1+1+1+1+1+2	UNSAT	8375	13.718
1+1+1+1+1+1+1+1	REDUCED_BY_COTREE_SYMMETRY	NA	NA
